nombre_parque	departamento	lat	lon	enlace	referente_parque	telefono	email	vias_acceso	distancias_puertos_aerop	sup_total_ha	cant_lotes	sup_disponible_ha	cant_empresas	cant_emp_proyeccion	cant_emp_exportadoras	cant_personas_empleadas	pct_sup_disponible	infra_alumbrado	infra_cerco	infra_energia	infra_gas	infra_accesos	infra_desagues	infra_agua	infra_conectividad	infra_efluentes	infra_seguridad	otros_servicios	promociones_municipales	rubros_instalados	empresas_instaladas	score_servicios	tiene_promocion	media_servicios	desvio_servicios	sup_para_radio	radio_px
Parque Industrial General Ramírez	Villaguay	-31.80965955	-59.05482602	https://parquesindustriales.entrerios.gov.ar/parques/11	Pablo Cesar Rode	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	Puerto Rosario: 160 km. | Puerto Diamante: 60 km. | Aeropuerto Paraná: 60 km. | Aeródromo Diamante: 60 km. | Aeródromo Victoria: 90 km	31	NA	23	8	14	0	150	74.2	0	1	1	0	1	0	1	1	1	0	NA	Loteos por proyecto industrial (sin costo) se otorga la titularidad de la tierra con el cumplimento del proyecto. Exención de tasas municipales y ley provincial.	Productos De Caucho y Plástico, Productos Minerales No Metálicos, Productos De Metal, Vehículos y Material de Transporte	Molino Centro S.R.L. (Culminante), Molino Centro S.R.L. (Corralero), Auqui Sa (Ex Cotrasep S.R.L.), Las Camelias S.A., El Cerco S.R.L., Dirección Provincial de Vialidad, La Martona, Apícola Ventura, Seinagro (Favre Diego José), Minatta Roberto J, Cayón Horacio R Y Gonzalez Fernando J Asoc. Simple, Campo Fertil S.R.L.	6	TRUE	4.54054054054054	1.4594594594594597	31	7.5024390243902435
Parque Industrial Seguí	Paraná	-31.9698	-60.1384	https://parquesindustriales.entrerios.gov.ar/parques/12	Analía Viola	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial Nº 32 y Nº 35	Puerto Rosario: 160 km. | Puerto Diamante: 50 km. | Aeropuerto Paraná: 50 km	32	NA	NA	16	2	0	141	NA	1	1	1	1	1	1	1	1	1	1	NA	Predios sin costo y la dotación por parte del municipio de la infraestructura necesaria para el funcionamiento. Exención Ingresos Brutos, Exención impuesto a los sellos, exención impuesto inmobiliario. Respecto de las tasas municipales gozan de la exención del 100% durante los primeros 5 años y del 50% transcurrido dicho plazo. Lotes gratuitos, exenciones impositivas, asistencia en la Gestión de los Recursos Humanos, en lo referente a los programas e incentivos de fomento de empleo a nivel nacional, provincial y municipal, Preferencia en licitaciones y compras del Estado provincial y municipal.	Alimentos, Sustancias y Productos Químicos, Productos Minerales No Metálicos, Productos De Metal, Maquinaria y Equipo	Martin grande S.R.L., Pondesur S.A., Aladio Hnos, Hornos Grafo SH, Alwa S.R.L., Tecon, Kliphan Ivan Mauricio, Sosa Rubén Alcides, Los Teros S.A., ERBA S.R.L., Teruel Sergio, Cooperativa San Martín Ltda.	10	TRUE	4.54054054054054	5.45945945945946	32	7.570731707317073
Parque Industrial La Paz	La Paz	-30.7471	-59.6006	https://parquesindustriales.entrerios.gov.ar/parques/13	Gastón Ojeda	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12 y Ruta Provincial Nº 1	Puerto La Paz: 6 km. | Aeródromo La Paz: 3 km	64	NA	40	7	1	2	60	62.5	1	0	1	1	1	0	1	1	0	1	Servicio de búsqueda de financiamiento y vinculación.	Precio promocional: se financia 90% del valor del lote en 36 cuotas 2 años gracia para iniciar el pago.	Alimentos, Sustancias y Productos Químicos, Productos Minerales No Metálicos	Cooperativa Agropecuaria La Paz, Cooperativa Arroceros de Villa Elisa, Industrias Pérez, Delcre Construcciones S.R.L., Astillero D'amfer, Inchemia, El Timbó	7	TRUE	4.54054054054054	2.4594594594594597	64	9.75609756097561
Parque Industrial Nogoyá	Nogoyá	-32.3741	-59.8199	https://parquesindustriales.entrerios.gov.ar/parques/14	Ricardo Pazo	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12 y Nº 26	Puerto Diamante: 110 km. | Puerto Rosario: 110 km. | Aeródromo Nogoyá: 5 km	56	94	50	4	5	0	18	89.3	0	1	1	0	1	0	1	1	0	1	NA	Exenciones impositivas que van hasta 20 años.	Sustancias y Productos Químicos, Productos Minerales No Metálicos	Hormigonera CBC SRL, Bounus, Fontana Hormigón, Gualeguay Cereales	6	TRUE	4.54054054054054	1.4594594594594597	56	9.209756097560977
Parque Industrial Cerrito	Paraná	-31.586045	-60.052277	https://parquesindustriales.entrerios.gov.ar/parques/15	Pablo Silvestre	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	Puerto Diamante: 92 km. | Puerto Rosario: 245 km. | Aeródromo Las Piedras: 26 km	14	NA	7	3	3	NA	7	50	1	1	1	1	0	0	1	0	1	1	NA	Se establece el precio de venta del metro cuadrado del terreno del Parque Industrial Cerrito en el valor de u$s 2 (dos dólares) pagaderos a valor oficial, dólar tipo vendedor cotización del Banco Nación Argentina, cierre del día hábil anterior a la operación comercial.	Alimentos, Productos De Metal	Esperanza Blanca, Cerrito Materiales, Ditmont y RM	7	TRUE	4.54054054054054	2.4594594594594597	14	6.341463414634147
Parque Industrial Larroque	Gualeguaychú	-33.044	-58.997	https://parquesindustriales.entrerios.gov.ar/parques/16	Nazareno Fiorotto	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial Nº 16	Puerto Concepción del Uruguay: 115 km. | Puerto Ibicuy: 206 km. | Aeródromo Gualeguaychú: 51 km	35	0	15	7	1	2	200	42.9	0	0	1	1	1	0	1	0	1	0	NA	No tiene	Productos De Caucho y Plástico, Industrias Metálicas, Productos De Metal, Servicios Lógisticos y Transporte	Leo Film S.R.L., Galvid S.R.L., Famet, Recypol, Marchesini Hugo Luis, Nutrelar S.R.L., Petro Vec S.R.L.	5	FALSE	4.54054054054054	0.45945945945945965	35	7.775609756097561
Parque Industrial María Grande	Paraná	-31.6679	-59.8874	https://parquesindustriales.entrerios.gov.ar/parques/17	Miryam Palacios	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial N° 32, cercano a puerto de Diamante y Túnel Subfluvial	Puerto Diamante: 90 km. | Puerto Rosario: 222 km. | Aeropuerto Gral. J.J. de Urquiza (Paraná): 72 km	42	NA	4	11	9	2	160	9.5	0	0	0	0	1	0	1	1	0	0	NA	Venta de lotes a precio muy bajo. Financiación amplia con 2 años de gracia. Alícuotas especiales de tasa comercial para producción de bienes de capital.	Alimentos, Productos Minerales No Metálicos, Industrias Metálicas, Productos De Metal, Maquinaria y Equipo	Dino Bártoli e Hijos S.R.L, Feresin Marmolería, Schepens S.R.L, Bártoli Hnos S.R.L., Hormigonera María Grande, Alimentaria Maria Grande, Bater Plack, Metalúrgica Los Mellis, Sierras Entrerrianas, Láctea Suarez, Taller del Acero Inoxidable	3	TRUE	4.54054054054054	-1.5405405405405403	42	8.253658536585366
Área Industrial Basavilbaso	NA	NA	NA	https://parquesindustriales.entrerios.gov.ar/parques/18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	42	8.253658536585366
Área Industrial Federación	Federación	-31.008785	-57.899294	https://parquesindustriales.entrerios.gov.ar/parques/19	Daniel Benitez	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Autovía Nacional N° 14 (a 7 km)	NA	160	NA	30	51	12	5	800	18.8	0	0	1	0	0	0	1	0	0	0	NA	No tiene	NA	Maringa Maderas S.A., Maderazas, Zeroleni Victor, Tonello Guillermo, Silva Raúl, Brambilla Magnano S.R.L., Zanandrea Daniel Adolfo, Zanandrea Mario Rafael, Zanandrea Nahuel Alexis, Rigoni Jorge Gerardo, Sirtori Ruben Angel S.R.L., Los Maderos S.R.L., Belpa S.A., Biderbost Hnos S.R.L., VP Puertas Placas, Aserradero Jul&Ana S.R.L., Ambar Maderas, Aserradero Silvestri Miller, Silvestri Maderas, Silvestri Leandro Javier, Aserradero San Sebastian S.R.L., Aserradero San Nicolas S.R.L., Cuello Walter Francisco, Fepal S.A., Losco Jesica Daniela, Losco Tamara Magali, Marotte S.R.L., Sarba Cesar Emanuel, Scarbol Gustavo Gabriel, Trozan Maderas, Vago Javier, Victor Ramon Zeroleni S.R.L.	2	FALSE	4.54054054054054	-2.5405405405405403	160	16.31219512195122
Zona Industrial Villa Elisa	Colón	-32.13574993	-58.36785461	https://parquesindustriales.entrerios.gov.ar/parques/20	Fabio Bordet	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Provincial N° 130	NA	11	NA	NA	15	3	0	50	NA	0	0	0	0	1	0	1	1	0	0	NA	No tiene	Madera, Papel, Edición e Impresión, Sustancias y Productos Químicos, Productos Minerales No Metálicos, Productos De Metal, Maquinaria y Equipo	Axion, Ing. Fernando Fabre, EP Agrometalúrgica, Campo Abierto, Arenera Lugrin, Roda Maderas, Metalúrgica Rohlo, Tournour Hnos., GRIDO (Ciavatta Luis), EGM Ingeniería, Galeano Julio (Terremoto), Distribuidora Nachito, INDMER S.R.L., López Mariano, Gallay Ramiro y Otro, Delaloye/Gallo, Grupo Terramac SRL, Lavadero 'El Soñador', C&P Constructora, Tornería Odiard, Vuagniaux Eric (Steeler), Viviendas América SRL, Cooperativa Apícola Villa Elisa Ltda.	3	FALSE	4.54054054054054	-1.5405405405405403	11	6.136585365853659
Área Industrial Gobernador Maciá	Tala	-32.1615683241005	-59.3952331837005	https://parquesindustriales.entrerios.gov.ar/parques/21	Gabriela Kloss	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial Nº 30	NA	22	NA	NA	36	2	1	196	NA	0	0	0	0	1	0	1	1	0	0	NA	No tiene	Alimentos, Bebidas, Madera, Papel, Edición e Impresión, Productos De Metal	Semilleria ByB, Los Naranjos, La Esperanza, Metalurgica H.G., Cosito, Eduardo Bucari, Obregon (dos lotes diferentes), Metaler, Maderas Maicá, Forrajera Soffia, Gama C, karst / schneiter/ Karst, Caranday, Colmenas del Litoral, Metalúrgica Alba, Diego Crettaz, Lácteos Emiliano, Ro-Ser, Batar, Regionales Torres, RG Agropecuarias SAS, Benedetti Hnos. S.R.L., El Tamarisco (dos lotes diferentes), Prisma, El Amanecer, Del Prado, Regionales El Yatay, Metalúrgica Pavon, El Nutrion, Perforaciones Beccher, Regionales Marker	3	FALSE	4.54054054054054	-1.5405405405405403	22	6.88780487804878
Parque Industrial San José	Colón	-32.1992158094345	-58.2429673049019	https://parquesindustriales.entrerios.gov.ar/parques/22	Gaston Sacks	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nacional Nº 14	NA	9	NA	10.6	8	1	0	57	117.8	0	1	0	0	1	0	1	1	0	0	NA	No tiene	Productos Minerales No Metálicos, Productos De Metal, Maquinaria y Equipo	Metalúrgica Albace S.A., Jacquet Roberto y Jacquet Ariel S.H., Axura S.A., Meyco S.R.L., Malagrida Marcelo, Martin Bouvier Construcciones	4	FALSE	4.54054054054054	-0.5405405405405403	9	6
Parque Industrial Rosario del Tala	Tala	-32.3238016456907	-59.1656163980194	https://parquesindustriales.entrerios.gov.ar/parques/23	Gianinetto Iván Nicolas	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	NA	69	NA	31	1	2	1	51	44.9	0	0	0	0	1	0	1	0	0	0	NA	No tiene	Productos Caucho	Entre Ríos Recicla S.R.L.	2	FALSE	4.54054054054054	-2.5405405405405403	69	10.097560975609756
Área Industrial Gobernador Mansilla	Tala	-32.5686588581645	-59.3282585474858	https://parquesindustriales.entrerios.gov.ar/parques/24	Yari Marozzini	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Nacional Nº 12	NA	NA	NA	NA	5	0	0	40	NA	0	1	0	0	1	0	1	0	0	0	NA	No tiene	Madera, Papel, Edición e Impresión, Combustibles y Energía	Ansa Pablo Martin, Sarasola Hugo, Morison Alejandro M.	3	FALSE	4.54054054054054	-1.5405405405405403	42	8.253658536585366
Parque Industrial General Galarza	Diamante	-32.7279278630393	-59.373673973168	https://parquesindustriales.entrerios.gov.ar/parques/25	Jorge Herlich	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Nacional Nº 12	NA	15	NA	12	5	0	0	30	80	0	0	0	0	1	0	1	0	0	0	NA	No tiene	Alimentos, Productos De Metal	Silocar, Metalurgica Gillij, Serco, Laboratorio Diesel Galarza, Michelman	2	FALSE	4.54054054054054	-2.5405405405405403	15	6.409756097560976
Parque Industrial Victoria	Victoria	-32.6269177395172	-60.1139482073816	https://parquesindustriales.entrerios.gov.ar/parques/26	Pamela Rosa Padula	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Nacional Nº 11	NA	35	NA	30	1	0	0	10	85.7	0	0	0	0	0	0	1	0	0	0	NA	No tiene	Productos Minerales No Metálicos	EYH S.R.L.	1	FALSE	4.54054054054054	-3.5405405405405403	35	7.775609756097561
Parque Industrial Diamante	Diamante	-32.0895091188501	-60.6227950666159	https://parquesindustriales.entrerios.gov.ar/parques/28	Gastón Salto	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Provincial Nº 11	NA	25	NA	25	0	13	0	0	100	0	0	0	1	1	0	1	0	0	0	NA	No tiene	Alimentos	Cooperativa Apícola, Carpintería Apícola	3	FALSE	4.54054054054054	-1.5405405405405403	25	7.092682926829268
